,Name,Entry Number,Timestamp,Total Time,Status
46,MlygvhKdHJ_8672HZK3729,8672HZK3729,"['11:04:20,11:05:16,00:00:56']",00:00:56,Absent
47,NCbaTjBnGl_2470NAC0984,2470NAC0984,"['11:00:26,11:01:14,00:00:48', '11:01:15,12:16:41,01:15:26']",01:16:14,Present
48,NCrOGOVLjP_2363ESD2309,2363ESD2309,"['11:00:03,2020-09-26 12:30:59,01:30:56']",01:30:56,Present
49,NDXhUsHKPd_4189MML6687,4189MML6687,"['11:01:42,11:02:18,00:00:36', '11:03:42,11:41:47,00:38:05']",00:38:41,Absent
50,NLCMcNcLbT_4779EOD3275,4779EOD3275,"['11:08:36,11:21:07,00:12:31']",00:12:31,Absent
51,NhnRmgrWVF_4845TVP2585,4845TVP2585,"['11:42:16,12:25:13,00:42:57']",00:42:57,Present
52,NjQCIWxhIi_1098DOD3024,1098DOD3024,"['12:13:37,2020-09-26 12:30:59,00:17:22']",00:17:22,Absent
53,NmjkRDbTLQ_5412FMV4240,5412FMV4240,"['11:24:22,11:26:31,00:02:09']",00:02:09,Absent
54,OGqDsAHXSK_1340IUA3601,1340IUA3601,"['11:16:24,2020-09-26 12:30:59,01:14:35']",01:14:35,Present
55,OdCZPrisJv_1549ARU6330,1549ARU6330,"['11:01:15,11:01:32,00:00:17', '11:01:32,12:24:32,01:23:00']",01:23:17,Present
56,OdPQABIWmc_4285MGX8767,4285MGX8767,"['11:59:35,12:02:09,00:02:34', '12:02:53,2020-09-26 12:30:59,00:28:06']",00:30:40,Absent
57,PBKTILSvwW_5788LHT3142,5788LHT3142,"['10:59:29,11:02:18,00:02:49', '11:17:23,12:25:50,01:08:27']",01:11:16,Present
58,PgUZopDXHt_6172NKS2349,6172NKS2349,"['10:56:32,10:59:04,00:02:32', '10:59:05,12:25:13,01:26:08']",01:28:40,Present
59,PnMrPHdHma_0832MKG4291,0832MKG4291,"['11:07:05,12:01:45,00:54:40']",00:54:40,Present
60,QMTFYtPXpQ_9003JMW3329,9003JMW3329,"['10:58:54,10:59:04,00:00:10', '10:59:05,12:18:38,01:19:33', '12:22:20,2020-09-26 12:30:59,00:08:39']",01:28:22,Present
61,QaqYgKNJvW_2108YUX7895,2108YUX7895,"['10:57:44,10:59:04,00:01:20', '10:59:06,11:36:12,00:37:06', '11:37:03,12:26:07,00:49:04']",01:27:30,Present
62,QdrdUQcvQk_7054SZQ9330,7054SZQ9330,"['11:12:09,11:36:04,00:23:55']",00:23:55,Absent
63,QzmlKnrqdM_2574QES4650,2574QES4650,"['11:01:23,2020-09-26 12:30:59,01:29:36']",01:29:36,Present
64,RAyGAtExfl_4170DNR4827,4170DNR4827,"['10:57:51,10:58:22,00:00:31', '10:58:57,10:59:03,00:00:06', '10:59:05,12:25:48,01:26:43']",01:27:20,Present
65,ROAksBmXKO_1745LXI0053,1745LXI0053,"['11:01:42,11:01:49,00:00:07', '11:03:06,11:03:13,00:00:07', '11:04:26,11:31:12,00:26:46', '11:32:21,12:21:46,00:49:25']",01:16:25,Present
66,RVKNWyxTCt_5532AQK0459,5532AQK0459,"['11:08:35,12:24:27,01:15:52']",01:15:52,Present
67,RpVisRhMMx_7064KTS2598,7064KTS2598,"['11:00:01,11:00:06,00:00:05', '11:00:22,12:25:36,01:25:14']",01:25:19,Present
68,SaGIdCukNI_6469PXB2343,6469PXB2343,"['11:50:48,12:13:12,00:22:24']",00:22:24,Absent
69,SpyEOgxNeE_5393MIO0069,5393MIO0069,"['10:56:12,10:56:16,00:00:04', '11:01:29,11:01:37,00:00:08', '11:03:05,11:03:11,00:00:06', '11:15:20,12:16:00,01:00:40']",01:00:58,Present
70,SxyBMRFNnU_6531SMW6020,6531SMW6020,"['11:00:09,11:02:57,00:02:48', '11:03:32,12:25:07,01:21:35']",01:24:23,Present
71,TJyForEfbc_6813GIA6998,6813GIA6998,"['11:51:10,12:24:55,00:33:45']",00:33:45,Absent
72,TbkhYNHyGe_9053UAP2283,9053UAP2283,"['11:11:17,12:04:07,00:52:50']",00:52:50,Present
73,TtygqpMZQO_0349LNS0250,0349LNS0250,"['11:07:51,12:25:13,01:17:22']",01:17:22,Present
